flag,gender,education,house_val,age,online,customer_psy,occupation,mortgage,region,car_prob,fam_income
Y,M,4. Grad,75646,1_Unk,N,B,Professional,1Low,Midwest,1,L
N,F,3. Bach,213171,7_>65,N,E,Professional,1Low,Northeast,3,G
N,M,2. Some College,111147,2_<=25,Y,C,Professional,1Low,Midwest,1,J
Y,M,2. Some College,354151,2_<=25,Y,B,Sales/Service,1Low,West,2,L
Y,F,2. Some College,11787,1_Unk,Y,J,Sales/Service,1Low,South,7,H
Y,F,3. Bach,248694,6_<=65,Y,B,Professional,2Med,West,1,G
Y,M,3. Bach,2,1_Unk,Y,A,Professional,1Low,Northeast,5,C
N,F,3. Bach,416925,5_<=55,Y,C,Professional,1Low,South,2,I
N,F,1. HS,27676,4_<=45,Y,G,Blue Collar,1Low,West,5,D
Y,M,1. HS,24138,1_Unk,Y,C,Sales/Service,1Low,Northeast,6,G
N,M,2. Some College,158268,7_>65,Y,C,Sales/Service,2Med,Midwest,3,E
Y,F,3. Bach,245686,4_<=45,N,F,Blue Collar,1Low,South,3,E
Y,F,2. Some College,36587,5_<=55,Y,C,Professional,3High,Midwest,1,J
N,M,. <HS,,2_<=25,Y,I,Others,1Low,West,6,C
Y,F,3. Bach,38431,6_<=65,Y,B,Professional,1Low,South,2,A
Y,M,. <HS,162884,1_Unk,Y,G,Professional,1Low,South,7,C
N,F,1. HS,,7_>65,N,I,Retired,1Low,South,5,E
Y,F,2. Some College,23956,5_<=55,Y,C,Sales/Service,2Med,Midwest,3,F
N,M,. <HS,6822,1_Unk,N,G,Blue Collar,1Low,Midwest,9,C
N,M,1. HS,9426,4_<=45,Y,I,Blue Collar,1Low,South,6,E
Y,F,4. Grad,4875,3_<=35,Y,F,Sales/Service,3High,West,3,F
Y,M,3. Bach,,4_<=45,N,G,Professional,1Low,West,8,F
N,F,2. Some College,136729,4_<=45,Y,C,Blue Collar,1Low,Midwest,4,G
N,U,. <HS,452622,3_<=35,N,F,Professional,1Low,South,1,D
N,M,. <HS,12842,1_Unk,N,G,Sales/Service,1Low,Northeast,8,A
Y,M,3. Bach,38817,3_<=35,Y,C,Sales/Service,1Low,South,2,F
Y,M,4. Grad,26271,3_<=35,Y,C,Professional,2Med,West,4,F
N,M,1. HS,,1_Unk,N,F,Blue Collar,1Low,Northeast,5,D
Y,M,2. Some College,169113,6_<=65,Y,B,Professional,1Low,Midwest,3,F
N,F,2. Some College,189878,2_<=25,Y,E,Sales/Service,2Med,South,4,E
Y,F,2. Some College,9453,5_<=55,Y,F,Blue Collar,1Low,Midwest,3,D
Y,M,1. HS,176582,5_<=55,Y,B,Professional,3High,West,1,F
Y,M,2. Some College,32581,5_<=55,Y,C,Sales/Service,1Low,Midwest,2,J
Y,F,4. Grad,,3_<=35,Y,B,Professional,1Low,Northeast,2,E
Y,M,2. Some College,1151448,3_<=35,N,B,Professional,2Med,South,1,F
N,M,4. Grad,,5_<=55,Y,G,Professional,1Low,Northeast,5,D
N,M,. <HS,3875,1_Unk,N,C,Sales/Service,1Low,West,1,H
Y,F,3. Bach,15,7_>65,Y,B,Retired,3High,South,1,L
N,F,1. HS,46662,3_<=35,N,F,Sales/Service,1Low,Midwest,3,D
Y,M,1. HS,,4_<=45,N,C,Sales/Service,1Low,South,3,A
N,F,2. Some College,6887,2_<=25,N,G,Sales/Service,1Low,Midwest,5,D
N,M,3. Bach,77826,5_<=55,N,B,Professional,1Low,West,1,L
N,F,1. HS,944,5_<=55,Y,J,Sales/Service,1Low,South,4,E
N,F,. <HS,3815,6_<=65,Y,D,Retired,2Med,West,1,F
Y,M,4. Grad,37182,4_<=45,N,B,Professional,1Low,South,1,G
N,F,3. Bach,12987,1_Unk,Y,C,Sales/Service,1Low,Midwest,2,F
N,M,1. HS,,5_<=55,Y,A,Blue Collar,1Low,Midwest,3,B
N,M,2. Some College,121398,1_Unk,N,F,Sales/Service,1Low,South,8,E
N,F,2. Some College,134288,6_<=65,N,B,Sales/Service,1Low,South,3,E
Y,F,2. Some College,27468,4_<=45,Y,B,Professional,3High,South,1,B
N,M,2. Some College,285353,5_<=55,N,I,Professional,1Low,West,1,E
N,F,,582365,2_<=25,N,B,Professional,1Low,Northeast,1,K
Y,F,. <HS,35656,5_<=55,Y,B,Sales/Service,2Med,South,1,G
N,M,1. HS,247746,5_<=55,Y,B,Blue Collar,1Low,Midwest,8,E
N,F,2. Some College,,2_<=25,Y,G,Sales/Service,1Low,West,3,A
N,F,4. Grad,24852,7_>65,Y,D,Professional,1Low,Northeast,4,E
N,F,. <HS,,4_<=45,N,G,Sales/Service,1Low,South,9,A
N,F,1. HS,,1_Unk,Y,I,Sales/Service,1Low,West,9,A
N,M,. <HS,121753,1_Unk,N,G,Sales/Service,1Low,Northeast,2,A
N,U,4. Grad,73575,1_Unk,N,B,Professional,3High,Midwest,6,J
N,F,1. HS,3629,5_<=55,Y,I,Sales/Service,1Low,South,8,B
Y,M,4. Grad,,3_<=35,Y,F,Blue Collar,1Low,Northeast,3,D
Y,M,3. Bach,296741,6_<=65,Y,C,Professional,3High,Northeast,1,H
Y,M,3. Bach,1383733,6_<=65,Y,B,Professional,1Low,South,1,K
Y,M,3. Bach,395125,5_<=55,Y,C,Sales/Service,3High,South,1,J
N,F,,,4_<=45,Y,I,Blue Collar,1Low,South,3,D
N,F,2. Some College,,2_<=25,N,G,Sales/Service,1Low,South,7,A
N,F,1. HS,173462,5_<=55,Y,E,Blue Collar,1Low,Midwest,5,E
N,F,1. HS,286353,5_<=55,N,C,Sales/Service,2Med,Northeast,1,K
N,M,3. Bach,198652,1_Unk,N,E,Professional,1Low,South,1,E
Y,F,4. Grad,123377,6_<=65,Y,F,Professional,1Low,South,2,A
N,F,1. HS,872,7_>65,N,F,Retired,1Low,Midwest,4,C
N,F,2. Some College,113632,6_<=65,Y,F,Professional,1Low,Midwest,1,E
N,M,3. Bach,143945,5_<=55,Y,F,Professional,1Low,Midwest,6,F
Y,F,3. Bach,25781,4_<=45,Y,C,Sales/Service,1Low,South,3,G
N,F,2. Some College,33373,1_Unk,Y,E,Sales/Service,1Low,Northeast,2,H
Y,M,3. Bach,,4_<=45,Y,C,Professional,1Low,Midwest,3,E
Y,M,1. HS,174814,4_<=45,Y,F,Sales/Service,1Low,South,8,E
Y,M,3. Bach,816682,1_Unk,Y,C,Sales/Service,1Low,South,1,F
N,F,3. Bach,,6_<=65,Y,H,Retired,1Low,South,2,C
N,F,1. HS,11727,3_<=35,Y,G,Sales/Service,1Low,South,8,G
N,U,. <HS,9744,1_Unk,N,G,Sales/Service,1Low,South,6,A
Y,M,,976912,1_Unk,Y,B,Others,2Med,Midwest,1,L
Y,M,4. Grad,221836,6_<=65,Y,I,Professional,2Med,Midwest,2,F
N,F,2. Some College,654177,4_<=45,N,E,Sales/Service,1Low,West,3,D
N,F,2. Some College,3896,4_<=45,Y,D,Sales/Service,1Low,West,6,B
N,U,. <HS,,1_Unk,Y,F,Sales/Service,1Low,South,8,D
N,M,2. Some College,167533,7_>65,Y,D,Retired,1Low,Northeast,2,G
Y,M,2. Some College,42559,3_<=35,N,C,Sales/Service,1Low,West,5,F
Y,F,2. Some College,1998,2_<=25,Y,B,Sales/Service,1Low,Northeast,3,E
N,M,. <HS,7659,3_<=35,N,E,Professional,1Low,Midwest,2,E
N,M,. <HS,124488,6_<=65,N,G,Others,1Low,Midwest,7,B
N,U,2. Some College,144724,1_Unk,Y,C,Sales/Service,1Low,South,2,K
N,F,1. HS,,3_<=35,N,G,Sales/Service,1Low,South,6,C
N,M,2. Some College,131781,1_Unk,N,G,Blue Collar,1Low,Midwest,9,D
N,F,2. Some College,5286,2_<=25,Y,C,Professional,1Low,West,1,G
N,F,2. Some College,228464,1_Unk,Y,F,Sales/Service,2Med,West,3,B
N,F,1. HS,,5_<=55,Y,G,Professional,1Low,South,2,B
N,F,1. HS,,6_<=65,Y,G,Sales/Service,1Low,Northeast,7,B
N,F,2. Some College,476766,7_>65,N,E,Retired,1Low,West,3,F
N,F,4. Grad,,4_<=45,Y,J,Professional,1Low,South,2,E
Y,F,3. Bach,441995,4_<=45,N,B,Professional,1Low,South,1,E
N,F,2. Some College,,4_<=45,Y,D,Professional,1Low,Northeast,6,B
Y,M,1. HS,5876,1_Unk,N,G,Sales/Service,1Low,West,2,E
Y,M,3. Bach,39872,5_<=55,Y,C,Sales/Service,1Low,South,1,G
Y,M,2. Some College,1398,1_Unk,N,C,Sales/Service,1Low,South,8,E
N,M,1. HS,,5_<=55,Y,E,Blue Collar,1Low,Midwest,8,E
Y,M,4. Grad,111725,6_<=65,N,B,Professional,3High,West,1,I
Y,M,,4816,1_Unk,Y,F,Others,1Low,South,1,D
N,F,3. Bach,184454,7_>65,Y,I,Retired,1Low,Midwest,2,D
Y,M,1. HS,298343,1_Unk,Y,C,Others,1Low,West,7,D
Y,M,4. Grad,5685,3_<=35,N,C,Professional,3High,Midwest,1,L
N,M,2. Some College,379472,5_<=55,N,J,Professional,2Med,West,1,E
N,F,1. HS,11938,3_<=35,N,I,Sales/Service,1Low,South,5,E
N,F,1. HS,,2_<=25,N,G,Sales/Service,1Low,West,9,A
N,F,2. Some College,2426,5_<=55,Y,E,Professional,1Low,South,3,G
Y,F,4. Grad,12426,3_<=35,N,E,Professional,1Low,Midwest,8,K
Y,F,3. Bach,986,3_<=35,Y,E,Professional,1Low,Midwest,6,E
N,M,,53917,5_<=55,N,I,Sales/Service,1Low,Midwest,1,G
Y,M,4. Grad,286288,4_<=45,Y,E,Professional,1Low,West,1,F
N,F,1. HS,629998,7_>65,Y,I,Retired,1Low,Midwest,2,C
N,U,4. Grad,194238,1_Unk,N,I,Sales/Service,1Low,South,2,E
N,F,,261,3_<=35,Y,B,Sales/Service,1Low,Midwest,1,A
N,M,2. Some College,484952,2_<=25,N,B,Sales/Service,3High,South,1,I
Y,M,2. Some College,39451,6_<=65,Y,I,Sales/Service,3High,Northeast,5,F
Y,F,3. Bach,185131,3_<=35,Y,C,Blue Collar,1Low,South,5,E
N,F,2. Some College,345344,5_<=55,Y,B,Professional,1Low,South,3,G
N,F,1. HS,4424,6_<=65,Y,D,Retired,1Low,South,1,H
Y,M,3. Bach,594819,6_<=65,Y,C,Professional,1Low,Northeast,4,J
Y,U,2. Some College,1445,1_Unk,N,C,Professional,1Low,West,1,J
N,M,1. HS,,7_>65,Y,A,Sales/Service,1Low,Northeast,2,E
Y,M,3. Bach,356397,6_<=65,Y,B,Professional,2Med,South,1,J
Y,F,2. Some College,31515,2_<=25,Y,E,Professional,3High,South,3,F
Y,F,2. Some College,297851,5_<=55,Y,C,Sales/Service,3High,Rest,1,E
Y,M,1. HS,2824,5_<=55,Y,C,Retired,1Low,Midwest,1,F
N,M,2. Some College,,4_<=45,Y,G,Professional,1Low,Midwest,8,C
Y,F,3. Bach,,3_<=35,Y,G,Professional,1Low,South,3,E
Y,F,3. Bach,168512,3_<=35,N,C,Sales/Service,1Low,South,4,E
Y,M,. <HS,53253,5_<=55,Y,E,Blue Collar,3High,Northeast,3,F
N,M,2. Some College,66965,1_Unk,N,G,Others,1Low,Northeast,7,G
Y,M,3. Bach,887216,4_<=45,Y,C,Professional,3High,West,2,I
N,M,. <HS,,6_<=65,N,H,Sales/Service,1Low,Northeast,3,D
Y,M,1. HS,22192,6_<=65,Y,B,Professional,1Low,Northeast,3,E
